movieId,title,genres,genre_ids
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"[12, 16, 35, 14]"
2,Jumanji (1995),Adventure|Children|Fantasy,"[12, 14]"
3,Grumpier Old Men (1995),Comedy|Romance,"[35, 10749]"
4,Waiting to Exhale (1995),Comedy|Drama|Romance,"[35, 18, 10749]"
5,Father of the Bride Part II (1995),Comedy,[35]
6,Heat (1995),Action|Crime|Thriller,"[28, 80, 53]"
7,Sabrina (1995),Comedy|Romance,"[35, 10749]"
8,Tom and Huck (1995),Adventure|Children,[12]
9,Sudden Death (1995),Action,[28]
10,GoldenEye (1995),Action|Adventure|Thriller,"[28, 12, 53]"
11,"The American President,",Comedy|Drama|Romance,"[35, 18, 10749]"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,"[35, 27]"
13,Balto (1995),Adventure|Animation|Children,"[12, 16]"
14,Nixon (1995),Drama,[18]
15,Cutthroat Island (1995),Action|Adventure|Romance,"[28, 12, 10749]"
16,Casino (1995),Crime|Drama,"[80, 18]"
17,Sense and Sensibility (1995),Drama|Romance,"[18, 10749]"
18,Four Rooms (1995),Comedy,[35]
19,Ace Ventura: When Nature Calls (1995),Comedy,[35]
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"[28, 35, 80, 18, 53]"
21,Get Shorty (1995),Comedy|Crime|Thriller,"[35, 80, 53]"
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"[80, 18, 27, 9648, 53]"
23,Assassins (1995),Action|Crime|Thriller,"[28, 80, 53]"
24,Powder (1995),Drama|Sci-Fi,[18]
25,Leaving Las Vegas (1995),Drama|Romance,"[18, 10749]"
26,Othello (1995),Drama,[18]
27,Now and Then (1995),Children|Drama,[18]
28,Persuasion (1995),Drama|Romance,"[18, 10749]"
29,"La) City of Lost Children, The (Cité des enfants perdus (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"[12, 18, 14, 9648]"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"[80, 18]"
31,Dangerous Minds (1995),Drama,[18]
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"[9648, 53]"
34,Babe (1995),Children|Drama,[18]
36,Dead Man Walking (1995),Crime|Drama,"[80, 18]"
38,It Takes Two (1995),Children|Comedy,[35]
39,Clueless (1995),Comedy|Romance,"[35, 10749]"
40,the Beloved Country Cry (1995),Drama,[18]
41,Richard III (1995),Drama|War,"[18, 10752]"
42,Dead Presidents (1995),Action|Crime|Drama,"[28, 80, 18]"
43,Restoration (1995),Drama,[18]
