movieId,title,actors,director,release_date,summary,duration,genre_id
4,"Father of the Bride Part II (1995)","Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern","Charles Shyer",1995-12-08,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",102,12
5,"Heat (1995)","Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore","Michael Mann",1995-12-15,"Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",170,18
6,"Sabrina (1995)","Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, John Wood","Sydney Pollack",1995-12-15,"Sabrina Fairchild, a chauffeur's daughter, grew up at the Long Island estate of the wealthy Larrabee family enchanted with their sparkling world of privilege and wealth, but she's especially enamored of younger son David, a charming playboy. After the once plain Sabrina returns from a sojourn in Paris transformed into a glamorous young woman, she at long last catches David's eye. In a calculated effort to manipulate David away from her and into a more financially advantageous marriage, formidable older brother Linus devises a plan to keep them apart.",127,18
7,"Tom and Huck (1995)","Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket, Amy Wright","Peter Hewitt",1995-12-22,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",97,35
8,"Sudden Death (1995)","Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright, Ross Malinger","Peter Hyams",1995-10-27,"When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.",110,18
9,"GoldenEye (1995)","Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker","Martin Campbell",1995-11-16,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",130,28
10,"The American President,","Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox, Anna Deavere Smith","Rob Reiner",1995-11-17,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",113,35
11,"Dracula: Dead and Loving It (1995)","Leslie Nielsen, Mel Brooks, Amy Yasbeck, Peter MacNicol, Lysette Anthony","Mel Brooks",1995-12-22,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",88,18
12,"Balto (1995)","Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins","Simon Wells",1995-12-22,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",78,18
13,"Nixon (1995)","Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris, Bob Hoskins","Oliver Stone",1995-12-22,"A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.",192,18
