movieId,title,genres
0,Toy Story (1995),12|16|35|14
1,Jumanji (1995),12|14
2,Grumpier Old Men (1995),35|10749
3,Waiting to Exhale (1995),35|18|10749
4,Father of the Bride Part II (1995),35
5,Heat (1995),28|80|53
6,Sabrina (1995),35|10749
7,Tom and Huck (1995),12
8,Sudden Death (1995),28
9,GoldenEye (1995),28|12|53
10,"The American President,",35|18|10749
11,Dracula: Dead and Loving It (1995),35|27
12,Balto (1995),12|16
13,Nixon (1995),18
14,Cutthroat Island (1995),28|12|10749
15,Casino (1995),80|18
16,Sense and Sensibility (1995),18|10749
17,Four Rooms (1995),35
18,Ace Ventura: When Nature Calls (1995),35
19,Money Train (1995),28|35|80|18|53
20,Get Shorty (1995),35|80|53
21,Copycat (1995),80|18|27|9648|53
22,Assassins (1995),28|80|53
23,Powder (1995),18
24,Leaving Las Vegas (1995),18|10749
25,Othello (1995),18
26,Now and Then (1995),18
27,Persuasion (1995),18|10749
28,"La) City of Lost Children, The (Cité des enfants perdus (1995)",12|18|14|9648
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),80|18
30,Dangerous Minds (1995),18
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),9648|53
32,Babe (1995),18
33,Dead Man Walking (1995),80|18
34,It Takes Two (1995),35
35,Clueless (1995),35|10749
36,the Beloved Country Cry (1995),18
37,Richard III (1995),18|10752
38,Dead Presidents (1995),28|80|18
39,Restoration (1995),18
40,Mortal Kombat (1995),28|12|14
41,To Die For (1995),35|18|53
42,How to Make an American Quilt (1995),18|10749
43,Seven (a.k.a. Se7en) (1995),9648|53
44,Pocahontas (1995),16|18|10749
45,When Night Is Falling (1995),18|10749
46,The Usual Suspects (1995),80|9648|53
47,Mighty Aphrodite (1995),35|18|10749
48,Lamerica (1994),12|18
49,The Big Green (1995),35
50,Georgia (1995),18
51,Home for the Holidays (1995),18
52,"Il) Postman, The (Postino (1994)",35|18|10749
53,The Indian in the Cupboard (1995),12|14
54,Eye for an Eye (1996),18|53
55,Mr. Holland's Opus (1995),18
56,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),35|80
57,Two if by Sea (1996),35|10749
58,Bio-Dome (1996),35
59,Lawnmower Man 2: Beyond Cyberspace (1996),28|53
60,French Twist (Gazon maudit) (1995),35|10749
61,Friday (1995),35
62,From Dusk Till Dawn (1996),28|35|27|53
63,Fair Game (1995),28
64,Kicking and Screaming (1995),35|18
65,Les Misérables (1995),18|10752
66,Bed of Roses (1996),18|10749
